source_name,Cold,Deferred,Demo Scheduled,Hot,Lost,Negotiation,New Lead,On Hold,Qualified,Tendered,Warm,Won
Advertisement,7.894736842105263,5.263157894736842,2.631578947368421,0.0,34.21052631578947,0.0,5.263157894736842,2.631578947368421,2.631578947368421,5.263157894736842,2.631578947368421,31.57894736842105
Cold Call,5.714285714285714,5.714285714285714,2.857142857142857,0.0,25.71428571428571,0.0,0.0,2.857142857142857,0.0,2.857142857142857,0.0,54.285714285714285
Email Campaign,2.3255813953488373,13.953488372093023,4.651162790697675,0.0,34.883720930232556,0.0,0.0,11.627906976744185,0.0,0.0,2.3255813953488373,30.23255813953488
Event/Expo,3.1746031746031744,3.1746031746031744,3.1746031746031744,1.5873015873015872,41.269841269841265,1.5873015873015872,0.0,9.523809523809524,1.5873015873015872,0.0,0.0,34.92063492063492
Referral,2.2222222222222223,13.333333333333334,0.0,0.0,31.11111111111111,0.0,0.0,2.2222222222222223,2.2222222222222223,2.2222222222222223,6.666666666666667,40.0
Tender/Enquiry,2.083333333333333,2.083333333333333,6.25,0.0,41.66666666666667,8.333333333333332,2.083333333333333,4.166666666666666,2.083333333333333,0.0,2.083333333333333,29.166666666666668
Visit,1.9230769230769231,3.8461538461538463,3.8461538461538463,0.0,46.15384615384615,3.8461538461538463,0.0,1.9230769230769231,1.9230769230769231,1.9230769230769231,0.0,34.61538461538461
Website,2.5,5.0,2.5,0.0,40.0,5.0,2.5,5.0,2.5,5.0,2.5,27.500000000000004
